0	1	2	3	4
California	0.99013156	0.977887347	559.1357143	578.3
Texas	0.994177732	0.993532797	208.9	211.2
New York	0.995698875	0.991376788	323.0642857	328.7
Florida	0.988204643	0.968400498	248.6882353	252.3
Illinois	0.987058446	0.977794649	203.84375	204.8
Pennsylvania	0.9950693	0.994985087	195.3857143	198.4
Ohio	0.991478311	0.9767011	150.5	153.6
Michigan	0.984709257	0.966075803	174.35	177
Georgia	0.988414158	0.978340928	203.1571429	206.8
North Carolina	0.992418319	0.986017008	203.8714286	208
New Jersey	0.990340376	0.984832512	336.59	342.5
Virginia	0.995750498	0.990613935	287.93	291
Washington	0.993661414	0.989815685	407.9642857	428.9
Massachusetts	0.992253862	0.977660111	422.3428571	433.9
Indiana	0.991342611	0.974162936	157.1	158.7
Arizona	0.986205917	0.96323826	277.8571429	277.6
Tennessee	0.993430183	0.990866845	187.6142857	192.6
Missouri	0.991052079	0.981365102	161.85	165.6
Maryland	0.994633847	0.977019826	306.132	313
Wisconsin	0.99257261	0.983191186	196.6333333	202.7
Minnesota	0.989849298	0.977446109	256.4583333	263.7
Colorado	0.993116787	0.990425947	402.4285714	408.8
Alabama	0.993289579	0.982901814	136.25	143.1
South Carolina	0.993633774	0.989346102	186.075	190.6
Louisiana	0.995820838	0.994363632	168.3	170.4
Kentucky	0.993013039	0.988718502	147.2142857	150
Oregon	0.993305067	0.990733246	362.7214286	372.9
Oklahoma	0.993707361	0.990915339	128.69	132.5
Connecticut	0.992716313	0.975426977	255.721875	259.9
Iowa	0.994361287	0.992378169	152.2666667	154.7
Mississippi	0.994828474	0.988304031	125.9	127.5
Arkansas	0.993095633	0.990842206	129.0714286	130.9
Kansas	0.993995799	0.991877314	151.6285714	153.9
Utah	0.990461584	0.98701062	347.8714286	355.5
Nevada	0.987554957	0.933727044	348.5	309.7
New Mexico	0.97750607	0.796945172	205.3571429	210.1
West Virginia	0.995499087	0.990821808	106.23	107.1
Nebraska	0.991382883	0.983622723	175.6714286	178.9
Idaho	0.991677358	0.981798543	290.95	298.3
Hawaii	0.996010268	0.9579158	639.16	642.5
Maine	0.995186364	0.987483949	239	249.6
New Hampshire	0.991356899	0.979764903	291.4714286	299.3
Rhode Island	0.990799002	0.979485522	306.2230769	308.7
Montana	0.821339551	0.318049241	279.625	288.9
Delaware	0.993895023	0.984426853	257.2035714	257.5
South Dakota	0.994647718	0.981226386	204.4916667	209.7
Alaska	0.996552862	0.990608621	296.3423077	300.1
North Dakota	0.591678128	0.210989479	235.0727273	237.5
Vermont	0.996768976	0.995063784	256.5333333	261.3
District of Columbia	0.995112608	0.965368033	627.0642857	640.8
Wyoming	0.958053851	0.767778864	251.6571429	256.1
